자치구명,위반장소,위반일시
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, PC방,2022
강남구, PC방,2022
강남구, PC방,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물(강남역센트럴푸르지오시티),2022
강남구, 건물(강남역센트럴푸르지오시티),2022
강남구, 강남대로(미진프라자 앞),2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 병원(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 대규모점포(율현동자동차매매센터),2022
강남구, 대규모점포,2022
강남구, 교육기관,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
