시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
은평구,오늘의  빵,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 불광로 29-1, 1층 좌측호 (대조동)",서울특별시 은평구 대조동 11-11 1층 좌측호,서울특별시 은평구청,37.611015728,126.9291015958
마포구,다참,시설전체,음식점                                                                                                 ,국민건강증진법제9조,"서울특별시 마포구 토정로 264 (용강동, 1층)",-,서울특별시 마포구청,37.542744,126.939219
은평구,세븐일레븐 새절증산로점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산로17길 6, 1층 (신사동)",서울특별시 은평구 신사동 337-12 1층,서울특별시 은평구청,37.590466113,126.9126947829
은평구,호면왕,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 불광로 20, NC백화점 9층 E-2호 (대조동)",서울특별시 은평구 대조동 240 NC백화점 9층 E-2호,서울특별시 은평구청,37.6097357749,126.928938477
은평구,커피에반하다(응암서부병원점),업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로10길 17, 1층 (응암동)",서울특별시 은평구 응암동 99-45 1층,서울특별시 은평구청,37.5994227522,126.924127324
은평구,체리블로썸,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산로 461, 1층 101호 (신사동)",서울특별시 은평구 신사동 23-25 1층101호,서울특별시 은평구청,37.5973831522,126.9149675175
은평구,롯데푸드(주)파스퇴르밀크바(은평몰점),업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 통일로 1050, 롯데몰 은평점 4층 (진관동)",서울특별시 은평구 진관동 63 롯데몰 은평점 4층,서울특별시 은평구청,37.637536674,126.9179002617
은평구,타이거슈가 연신내점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 연서로 215-1, 1층 (갈현동)",서울특별시 은평구 갈현동 456-3,서울특별시 은평구청,37.6179073453,126.9194843812
은평구,필링카롱,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로3길 22, 1층 (역촌동)",서울특별시 은평구 역촌동 83-32 1층,서울특별시 은평구청,37.600930606,126.915194381
은평구,안녕 이웃사람,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 갈현로9길 18, 1층 좌측호 (역촌동)",서울특별시 은평구 역촌동 71-12 1층 좌측호,서울특별시 은평구청,37.605066506,126.9085514012
은평구,고릴라PC방(역촌역점),업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 서오릉로 77, 3층 (역촌동)",서울특별시 은평구 역촌동 15-12 3층,서울특별시 은평구청,37.6071360316,126.9217706516
은평구,카페 코스,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로9길 16, 1층 (녹번동)",서울특별시 은평구 녹번동 176-17 1층 일부,서울특별시 은평구청,37.6017311304,126.9217062138
은평구,세븐일레븐 은평제일점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산서길 159, 1층 (증산동)",서울특별시 은평구 증산동 158-1 1층,서울특별시 은평구청,37.5887131101,126.9122862815
